Positions_q1,Positions_q2
2.356194490192345,2.356194490192345
2.356194490192345,2.483027316912706
2.356694490192345,2.6249998977673026
2.3576650601920517,2.7672521403719355
2.3590763031048714,2.8969166187596094
2.3608998448072023,3.008839456874051
2.3631103863225187,3.103626507167367
2.36568611209736,3.183901104788975
2.36860832650575,3.252392790765158
2.371860877196994,3.3113850972031575
2.3754296251826985,3.3626709377953277
2.379302021930219,3.4076374942414103
2.3834667855493232,3.447362019418414
2.3879136544250805,3.482690247777079
2.392633198466878,3.5142951626729673
2.3976166727877546,3.542719871909593
2.402855902787524,3.5684087598120993
2.408343192737562,3.5917302475209962
2.4140712521888963,3.612993583043181
2.420033136084413,3.6324613690473972
2.4262221955507446,3.6503590194816464
2.4326320371199706,3.6668819812894258
2.4392564886858583,3.6822013089426693
2.4460895709010395,3.696468012581651
2.4531254730165553,3.7098164812557957
2.4603585323842414,3.7223672020519154
2.467783217007287,3.734228936406295
2.4753941106495874,3.745500475553634
2.4831859001109438,3.7562720651833206
2.4911533643498784,3.7666265688290603
2.499291365194465,3.776640422952961
2.507594839427874,3.786384425688637
2.5160587920721955,3.7959243896572286
2.5246782907236067,3.8053216868645734
2.533448460815888,3.8146337041122544
2.5423644817085282,3.8239142254804914
2.551421583511452,3.83321375821138
2.560615044571303,3.8425798045809856
2.569940189554659,3.852057087625093
2.579392388072466,3.8475479153371093
2.5889670537972065,3.8578862548893462
2.598660046572046,3.8339030196004464
2.6084667375382184,3.845989634352504
2.618383573876994,3.8507335067228556
2.628405701403692,3.8635118662486665
2.638528578309031,3.8253512243193484
2.6487474109678186,3.840771107113978
2.6590591616481265,3.8563400424293692
2.6694586715883712,3.872106864417828
2.6799408807361185,3.803068362278647
2.690500826580833,3.823279408296297
2.7011367043416814,3.843483946715296
2.711842850020165,3.850625910339813
2.7226137535424235,3.8716484134553917
2.7334445995322074,3.8927990333334153
2.744330031534672,3.9141356042662694
2.755264845833977,3.829521151590115
2.766243988605953,3.8565661915797738
2.777266698733888,3.8797478460089447
2.7883270467276318,3.9067599178075016
2.7994195051087005,3.825316831025386
2.8105385543863703,3.8582717417638865
2.821683632682386,3.861550510641347
2.8328483613773505,3.8953635538311344
2.8440281346737617,3.817510380217965
2.8552168238385014,3.8573716284764776
2.866414029830084,3.862542050319308
2.877612802920448,3.902812872485231
2.888808435591821,3.8289348956489953
2.899994351782121,3.875061966554746
2.911170270768636,3.803378592662633
2.922328876254152,3.8552782371299767
2.9334699139355713,3.876416908567066
2.944585375313114,3.9266977880516527
2.955669616336402,3.859523600203186
2.966715450749967,3.9149816131555544
2.977722711403181,3.850215897593046
2.9886836523719893,3.9105242263534725
2.9995981087026946,3.8482502118039545
3.0104578570889515,3.909403954418102
3.0212627235586225,3.8496943325545105
3.0320043404999226,3.9062672049300917
3.042682514374857,3.849194261098216
3.0532891408095115,3.9032391238266184
3.063823988233955,3.848868805069605
3.074279071143445,3.9269908427811715
3.0846541043522904,3.8753107651676024
3.094939353391532,3.87743220806516
3.105134534623878,3.82872321353341
3.115235506011736,3.9182946524203195
3.1252417635199943,3.872266649226123
3.135142331533261,3.8704644641958508
3.1449367524858687,3.8275770390100794
3.1546212295090585,3.9269908534627884
3.164195023408889,3.88671030449487
3.1736462329047352,3.848092703812584
3.1829742302273316,3.9269908551778623
3.1921781633226756,3.8910520307130505
3.2012478848845767,3.8567776264708624
3.2101825921315545,3.8243392879148703
3.218981252770494,3.9269908559329774
