Initial Position (q),Initial Velocity (v),Costs
2.356194490192345,2.0,2.356194490192345
2.356194490192345,2.0,2.356194490192345
2.356194490192345,2.0,2.356194490192345
2.356194490192345,2.0,2.356194490192345
2.356194490192345,2.0,2.356194490192345
2.356194490192345,2.0,2.356194490192345
2.356194490192345,2.0,2.356194490192345
2.356194490192345,2.0,2.356194490192345
2.356194490192345,2.0,2.356194490192345
2.356194490192345,2.0,2.356194490192345
2.356194490192345,2.0,2.4347343065320897
2.356194490192345,2.0,2.4347343065320897
2.356194490192345,2.0,2.4347343065320897
2.356194490192345,2.0,2.4347343065320897
2.356194490192345,2.0,2.4347343065320897
2.356194490192345,2.0,2.4347343065320897
2.356194490192345,2.0,2.4347343065320897
2.356194490192345,2.0,2.4347343065320897
2.356194490192345,2.0,2.4347343065320897
2.356194490192345,2.0,2.4347343065320897
2.356194490192345,2.0,2.5132741228718345
2.356194490192345,2.0,2.5132741228718345
2.356194490192345,2.0,2.5132741228718345
2.356194490192345,2.0,2.5132741228718345
2.356194490192345,2.0,2.5132741228718345
2.356194490192345,2.0,2.5132741228718345
2.356194490192345,2.0,2.5132741228718345
2.356194490192345,2.0,2.5132741228718345
2.356194490192345,2.0,2.5132741228718345
2.356194490192345,2.0,2.5132741228718345
2.356194490192345,2.0,2.5132741228718345
2.356194490192345,2.0,2.5918139392115793
2.356194490192345,2.0,2.5918139392115793
2.356194490192345,2.0,2.5918139392115793
2.356194490192345,2.0,2.5918139392115793
2.356194490192345,2.0,2.5918139392115793
2.356194490192345,2.0,2.5918139392115793
2.356194490192345,2.0,2.5918139392115793
2.356194490192345,2.0,2.5918139392115793
2.356194490192345,2.0,2.5918139392115793
2.356194490192345,2.0,2.5918139392115793
2.356194490192345,2.0,2.5918139392115793
2.356194490192345,2.0,2.670353755551324
2.356194490192345,2.0,2.670353755551324
2.356194490192345,2.0,2.670353755551324
2.356194490192345,2.0,2.670353755551324
2.356194490192345,2.0,2.670353755551324
2.356194490192345,2.0,2.670353755551324
2.356194490192345,2.0,2.670353755551324
2.356194490192345,2.0,2.670353755551324
2.356194490192345,2.0,2.670353755551324
2.356194490192345,2.0,2.670353755551324
2.356194490192345,2.0,2.670353755551324
2.356194490192345,2.0,2.748893571891069
2.356194490192345,2.0,2.748893571891069
2.356194490192345,2.0,2.748893571891069
2.356194490192345,2.0,2.748893571891069
2.356194490192345,2.0,2.748893571891069
2.356194490192345,2.0,2.748893571891069
2.356194490192345,2.0,2.748893571891069
2.356194490192345,2.0,2.748893571891069
2.356194490192345,2.0,2.748893571891069
2.356194490192345,2.0,2.748893571891069
2.356194490192345,2.0,2.748893571891069
2.356194490192345,2.0,2.827433388230814
2.356194490192345,2.0,2.827433388230814
2.356194490192345,2.0,2.827433388230814
2.356194490192345,2.0,2.827433388230814
2.356194490192345,2.0,2.827433388230814
2.356194490192345,2.0,2.827433388230814
2.356194490192345,2.0,2.827433388230814
2.356194490192345,2.0,2.827433388230814
2.356194490192345,2.0,2.827433388230814
2.356194490192345,2.0,2.827433388230814
2.356194490192345,2.0,2.827433388230814
2.356194490192345,2.0,2.9059732045705586
2.356194490192345,2.0,2.9059732045705586
2.356194490192345,2.0,2.9059732045705586
2.356194490192345,2.0,2.9059732045705586
2.356194490192345,2.0,2.9059732045705586
2.356194490192345,2.0,2.9059732045705586
2.356194490192345,2.0,2.9059732045705586
2.356194490192345,2.0,2.9059732045705586
2.356194490192345,2.0,2.9059732045705586
2.356194490192345,2.0,2.9059732045705586
2.356194490192345,2.0,2.9059732045705586
2.356194490192345,2.0,2.9845130209103035
2.356194490192345,2.0,2.9845130209103035
2.356194490192345,2.0,2.9845130209103035
