Positions_q1,Positions_q2
2.356194490192345,2.3561944666370445
2.356394490192345,2.3561944666601025
2.3567844566944274,2.35619446665773
2.357354349028765,2.356194466655827
2.358094118563042,2.3561944666542796
2.3589937075349425,2.3561944666530032
2.3600430473341762,2.3561944666519454
2.3612320564418807,2.3561944666510564
2.362550637599539,2.35619446665031
2.3639886748604524,2.356194466649688
2.365536030088922,2.356194466649155
2.3671825393998,2.356194466648658
2.368918009894316,2.3561944666467687
2.3707322359641725,2.356194466645272
2.372615524212159,2.356194466644065
2.3745586775539906,2.356194466643078
2.376552979832074,2.356194466642262
2.3785901807972833,2.3561944666415777
2.380662480821551,2.356194466641
2.3827625163789024,2.3561944666405066
2.3848833453032845,2.3561944666400816
2.3870184324887127,2.3561944666397143
2.3891616360123753,2.356194466639392
2.391307192859204,2.356194466639109
2.393449706122789,2.3561944666388595
2.3955841312604895,2.356194466638635
2.397705763179303,2.356194466638436
2.3998102237563295,2.3561944666382555
2.4018934490016024,2.3561944666380916
2.4039516771994265,2.356194466635692
2.405981437019491,2.3561944666351873
2.4079793060163475,2.356194466634921
2.4099418901524365,2.356194466634635
2.411865823247125,2.356194466634331
2.4137477663598985,2.3561944666340393
2.415584407150474,2.356194466633663
2.4173724591129675,2.3561944666332906
2.41910866082388,2.356194466632884
2.420789775101223,2.356194466632437
2.4224125881174983,2.356194466631931
2.423973908460836,2.3561944666313215
