position,velocity,cost
2.356194490192345,0.0,303.3612225698353
2.356194490192345,0.16666666666666607,264.74987738857175
2.356194490192345,0.33333333333333215,234.0114362597206
2.356194490192345,0.5,209.6742276451292
2.356194490192345,0.6666666666666661,189.48401202825016
2.356194490192345,0.8333333333333321,173.428999923297
2.356194490192345,1.0,159.63953468223977
2.356194490192345,1.166666666666666,147.9557834480826
2.356194490192345,1.3333333333333321,138.58739006682802
2.356194490192345,1.5,130.31224124311362
2.356194490192345,1.666666666666666,122.98840491196066
2.356194490192345,1.8333333333333321,116.61618148553389
2.356194490192345,2.0,111.58864294856129
2.356194490192345,2.166666666666666,107.08289226806899
2.356194490192345,2.333333333333332,102.9542149684995
2.356194490192345,2.5,99.18791074249214
2.356194490192345,2.666666666666666,95.76614992260755
2.356194490192345,2.833333333333332,92.74909026672032
2.356194490192345,3.0,90.7173716990381
2.356194490192345,3.166666666666666,88.81812338860001
2.356194490192345,3.333333333333332,87.0030801155876
2.356194490192345,3.5,85.27218613767398
2.356194490192345,3.666666666666666,83.62538792703236
2.356194490192345,3.833333333333332,82.06263418489917
2.356194490192345,4.0,80.58387585599155
2.356194490192345,4.166666666666666,79.18906614232192
2.356194490192345,4.333333333333332,78.48060839643102
2.356194490192345,4.5,80.82610944841667
2.356194490192345,4.666666666666666,88.46735403643302
2.356194490192345,4.833333333333332,105.15778152595458
2.356194490192345,5.0,137.72635635691458
2.356194490192345,5.166666666666666,199.7920523809181
2.356194490192345,5.333333333333332,324.78166296561267
2.3692844595823024,0.0,288.3610250716498
2.3692844595823024,0.16666666666666607,251.81755380182332
2.3692844595823024,0.33333333333333215,223.00745309858337
2.3692844595823024,0.5,199.78405784515067
2.3692844595823024,0.6666666666666661,180.7693976191482
2.3692844595823024,0.8333333333333321,165.5021353624296
2.3692844595823024,1.0,152.35149988298176
2.3692844595823024,1.166666666666666,141.37069749346807
2.3692844595823024,1.3333333333333321,132.46655020000566
2.3692844595823024,1.5,124.53252667914771
2.3692844595823024,1.666666666666666,117.55010453129682
