Positions,Velocities,Inputs,Total_Costs,Terminal_Costs
2.556194490192345,2.2873282517180105,9.810000040620137,49.490995559293744,0.0
2.784927315364146,2.4891835951293553,7.438885410466485,14.69638128094921,0.0
3.0338456748770817,1.165666147095994,-9.809999432144897,1.3461438314268857,0.0
3.150412289586681,0.07917132741221904,-9.809994335996882,0.039701383344547286,0.0
3.158329422327903,-0.149554199568046,-2.373774777254507,0.030732496251275325,0.0
3.1433740023710985,-0.017064067205259503,1.1607212875604718,0.0003491802281814711,0.0
3.1416675956505724,-0.0007960762183713186,0.14520488756624716,6.331950384337841e-07,0.0
3.141587988028735,3.605206273796962e-05,0.00758610119553739,2.4351712278048507e-09,0.0
3.141591593235009,9.751687680022571e-06,-0.0002172345966000718,1.2373153599873475e-10,0.0
3.141592568403777,8.135862862829723e-07,-7.897893350538076e-05,1.163507425083976e-12,0.0
3.141592649762406,1.894135244860137e-08,-7.110774519996693e-06,3.671508118072339e-13,0.0
3.141592651656541,-3.815316431230343e-09,-1.90020018223329e-07,3.6620979846279656e-13,0.0
3.141592651275009,-5.581144796458934e-10,5.153722504420505e-08,3.6639795092789476e-13,0.0
3.141592651219198,-3.384902999965079e-11,2.7950685954009958e-08,3.664256255306968e-13,0.0
3.141592651215813,3.1588033699018114e-13,2.3597189958735358e-08,3.664272002539826e-13,0.0
3.1415926512158445,2.8079670750039143e-13,2.3288395377541848e-08,3.66427169894706e-13,0.0
3.1415926512158725,3.001600416108847e-14,2.3285929094220075e-08,3.664271552202577e-13,0.0
3.1415926512158756,1.060198952826212e-15,2.328787288275434e-08,3.664271539311283e-13,0.0
3.1415926512158756,1.0585811198969564e-15,2.3288131929011008e-08,3.6642715382039344e-13,0.0
3.1415926512158756,1.2934921552907805e-15,2.3288134294306467e-08,3.6642715382236496e-13,0.0
3.1415926512158756,1.1637893882095185e-15,2.3288130648168443e-08,3.6642715373384245e-13,0.0
3.1415926512158756,3.637633813960428e-16,2.3288123944932657e-08,3.6642715367229757e-13,0.0
3.1415926512158756,3.5354646998626144e-16,2.3288131843020223e-08,3.6642715381721866e-13,0.0
3.1415926512158756,9.714756397331131e-16,2.328813812448781e-08,3.6642715384523905e-13,0.0
3.1415926512158756,9.594130435312646e-16,2.3288131824575234e-08,3.664271537715195e-13,0.0
3.1415926512158756,-1.024122125536757e-15,2.328811210984273e-08,3.6642715396383683e-13,0.0
3.1415926512158756,-5.045038348129756e-16,2.3288137141380715e-08,3.664271538094663e-13,0.0
3.1415926512158756,-7.657355720097798e-16,2.3288129332875353e-08,3.664271537574205e-13,0.0
3.1415926512158756,-1.522811926199779e-15,2.328812437443257e-08,3.664271537790833e-13,0.0
3.1415926512158756,-1.0009871146484002e-15,2.3288137163451005e-08,3.664271538959451e-13,0.0
3.1415926512158756,-9.902001500651167e-16,2.328813205305729e-08,3.664271537886817e-13,0.0
3.1415926512158756,-1.5241756492448584e-15,2.328812660543604e-08,3.664271537887259e-13,0.0
3.1415926512158756,-1.1351418869004308e-15,2.3288135835533737e-08,3.664271539273832e-13,0.0
3.1415926512158756,7.394877150402636e-16,2.328815069149552e-08,3.6642715373157235e-13,0.0
3.1415926512158756,-6.443210223174012e-17,2.3288123905996247e-08,3.6642715382224253e-13,0.0
3.1415926512158756,-8.290555199817751e-16,2.3288124298958548e-08,3.664271536742218e-13,0.0
3.1415926512158756,-7.050295677130114e-16,2.3288133185459024e-08,3.664271539464947e-13,0.0
3.1415926512158756,-3.3674811257631415e-16,2.3288135628010665e-08,3.6642715384884923e-13,0.0
3.1415926512158756,-2.800748321414234e-16,2.328813251192553e-08,3.664271539680634e-13,0.0
3.1415926512158756,4.0794377289187986e-16,2.3288138825377082e-08,3.6642715384671403e-13,0.0
3.1415926512158756,-1.338446734900408e-15,2.3288114481277483e-08,3.664271537161343e-13,0.0
3.1415926512158756,7.38240035508958e-16,2.3288152712062124e-08,3.664271539520187e-13,0.0
3.1415926512158756,-3.206290755900648e-16,2.3288121356501614e-08,3.664271537345614e-13,0.0
3.1415926512158756,-2.715638450874122e-16,2.328813243584842e-08,3.6642715384815655e-13,0.0
3.1415926512158756,-9.569786708408558e-16,2.328812509104955e-08,3.664271538074494e-13,0.0
3.1415926512158756,-9.668838741260476e-16,2.328813184614408e-08,3.664271539081297e-13,0.0
3.1415926512158756,-7.2121128513735755e-16,2.3288134401927086e-08,3.66427153945817e-13,0.0
3.1415926512158756,-2.1520481387595283e-16,2.3288137005252356e-08,3.6642715381157314e-13,0.0
3.1415926512158756,-1.3872519262882535e-15,2.3288120224723295e-08,3.6642715372531255e-13,0.0
3.1415926512158756,7.453424067716853e-16,2.3288153271130974e-08,3.664271538126834e-13,0.0
3.1415926512158756,-4.614754081254044e-16,2.3288119877006106e-08,,
