Initial Position (q),Initial Velocity (v),Cost
2.356194490192345,0.0,0.18984310306843757
2.356194490192345,0.16666666666666607,0.18261753478740203
2.356194490192345,0.33333333333333215,0.18160813068212425
2.356194490192345,0.5,0.18681768326415873
2.356194490192345,0.6666666666666661,0.19824892851837192
2.356194490192345,0.8333333333333321,0.21590454724965233
2.356194490192345,1.0,0.2397871635773967
2.356194490192345,1.166666666666666,0.26989934412795136
2.356194490192345,1.3333333333333321,0.3062435982293339
2.356194490192345,1.5,0.34882237560111023
2.356194490192345,1.666666666666666,0.3976380667047683
2.356194490192345,1.8333333333333321,0.452693001745346
2.356194490192345,2.0,0.5140397650407859
2.356194490192345,2.166666666666666,0.5854271643993694
2.356194490192345,2.333333333333332,0.6691945843859829
2.356194490192345,2.5,0.7653571576976194
2.356194490192345,2.666666666666666,0.8739290862562636
2.356194490192345,2.833333333333332,0.9949236321677664
2.356194490192345,3.0,1.1283530833520923
2.356194490192345,3.166666666666666,1.2742287608601386
2.356194490192345,3.333333333333332,1.4328428337684431
2.356194490192345,3.5,1.6096431665990811
2.356194490192345,3.666666666666666,1.806751053043995
2.356194490192345,3.833333333333332,2.0242021333794855
2.356194490192345,4.0,2.2620254372501325
2.356194490192345,4.166666666666666,2.5202432946002573
2.356194490192345,4.333333333333332,2.803264128543549
2.356194490192345,4.5,3.1180491060806634
2.356194490192345,4.666666666666666,3.46468078151195
2.356194490192345,4.833333333333332,3.8457965603113444
2.356194490192345,5.0,4.2744393167926775
2.356194490192345,5.166666666666666,4.756205753330788
2.356194490192345,5.333333333333332,5.312809649445063
2.3692844595823024,0.0,0.18393603486091908
2.3692844595823024,0.16666666666666607,0.17684589185772792
2.3692844595823024,0.33333333333333215,0.17597392230734088
2.3692844595823024,0.5,0.18132287890766932
2.3692844595823024,0.6666666666666661,0.19289545806870637
2.3692844595823024,0.8333333333333321,0.21069430006468967
2.3692844595823024,1.0,0.2347219878219825
2.3692844595823024,1.166666666666666,0.26498104719824817
2.3692844595823024,1.3333333333333321,0.30147394461072324
2.3692844595823024,1.5,0.3442030892957773
2.3692844595823024,1.666666666666666,0.39317082453747415
2.3692844595823024,1.8333333333333321,0.4483794376781428
2.3692844595823024,2.0,0.5099616228720931
2.3692844595823024,2.166666666666666,0.5819878757193457
2.3692844595823024,2.333333333333332,0.6664006223288037
2.3692844595823024,2.5,0.7632146129413085
2.3692844595823024,2.666666666666666,0.8724436590563894
2.3692844595823024,2.833333333333332,0.9941006192894537
2.3692844595823024,3.0,1.1281973837616417
2.3692844595823024,3.166666666666666,1.2747448603060416
2.3692844595823024,3.333333333333332,1.4343859940997385
2.3692844595823024,3.5,1.6129205350162517
2.3692844595823024,3.666666666666666,1.8117780493626665
2.3692844595823024,3.833333333333332,2.0309919187794545
