q1,v1,q2,v2,u1,u2,Total_Costs,Terminal_Costs
2.356194490192345,-2.3529577490829636e-06,2.376194490192345,1.9593703564263412,9.810000097964371,2.8735178702992483,4206.7370645035235,0.0
2.3561944666627674,4.242806172033635e-08,2.395788193756608,1.9194910158009502,9.81000009659746,2.808910552618399,4151.9409072561575,0.0
2.356194467087048,1.0812412099863304e-08,2.4149831039146177,1.8802844271911832,9.810000096591066,2.7360404184582454,4099.785633491486,0.0
2.3561944671951722,0.12400392935864157,2.4337859481865296,1.5932235815309315,9.810000097550404,-9.80994623238645,4050.1107049690054,0.0
2.3574345064887585,0.20462541331195572,2.449718184001839,1.3927105521005618,9.810000097548235,-5.634062435594665,4002.8931483045217,0.0
2.359480760621878,0.23686439627856684,2.4636452895228445,1.2891170074632872,9.810000096573178,-0.8867147814397968,3957.8456612372734,0.0
2.3618494045846634,0.35594779826622386,2.4765364595974773,1.0109929280120955,9.810000096567562,-9.809990921622997,3914.715916394243,0.0
2.365408882567326,0.28107896510655644,2.486646388877598,1.1227870611122817,9.810000096560845,9.809996751700593,3873.43051768788,0.0
2.3682196722183915,0.38281712596130457,2.4978742594887207,0.8797009367707666,9.810000096555855,-8.224485807821473,3833.7534352192974,0.0
2.3720478434780046,0.34117278902791626,2.5066712688564285,0.9254178311266448,9.810000096550445,6.348862120681195,3795.75101877949,0.0
2.3754595713682836,0.45684607151714995,2.515925447167695,0.6543504633772159,9.810000097536001,-9.80999711791963,3759.181819988854,0.0
2.3800280320834553,0.38103629292700697,2.5224689518014674,0.7697702250757739,9.810000096539481,9.809995330050475,3724.0808306378844,0.0
2.3838383950127255,0.46228400458410507,2.530166654052225,0.5687918263227888,9.810000096534544,-6.341785686937518,3690.2429364936893,0.0
2.388461235058567,0.38658611797254266,2.535854572315453,0.6851562199354035,9.810000097530134,9.809998191708782,3657.7347858950507,0.0
2.3923270962382923,0.3284384145876531,2.5427061345148068,0.7669414166966158,9.810000096524545,8.034255348221132,3626.4196008578388,0.0
2.395611480384169,0.44304510762443533,2.5503755486817727,0.5000653092136106,9.810000096520806,-9.809997912163233,3596.2950364491617,0.0
2.4000419314604136,0.36756082372531695,2.555376201773909,0.6177666065732216,9.810000096514752,9.809996925922528,3567.4074736543143,0.0
2.403717539697667,0.4817406640022955,2.561553867839641,0.35238228586100595,9.810000097524028,-9.809999584575834,3539.5947022308105,0.0
2.40853494633769,0.45149290153700605,2.565077690698251,0.379523239838916,9.810000096506595,5.139828973635759,3512.8715998917405,0.0
2.41304987535306,0.5044581968263496,2.5688729230966403,0.2389115814161689,9.81000009650204,-3.4501358095381374,3487.078537422046,0.0
2.4180944573213234,0.4533892723609208,2.571262038910802,0.30946621107529076,9.810000097518753,7.366171395283081,3462.1915804290816,0.0
2.4226283500449326,0.5117776928239722,2.574356701021555,0.15929086820259997,9.810000096493376,-3.919165846561743,3438.1298755646308,0.0
2.4277461269731724,0.43790748094878945,2.575949609703581,0.2773070609779539,9.81000009648886,9.809994858209652,3414.8834429258386,0.0
2.4321252017826605,0.5079527903627161,2.5787226803133607,0.10508087634423793,9.810000097514125,-5.008799568388943,3392.390594191216,0.0
2.4372047296862878,0.4349278954509778,2.579773489076803,0.22269784774251095,9.810000096480788,9.809993732274526,3370.6567641363113,0.0
2.4415540086407974,0.4811805218924584,2.582000467554228,0.10006612292251016,9.810000096477115,-2.4319110193881834,3349.6156388047525,0.0
2.446365813859722,0.44872304046734335,2.583001128783453,0.13705803172599054,9.810000096473349,5.725359702793953,3329.2661011033797,0.0
2.450853044264395,0.46177912419173645,2.5843717091007132,0.08288878699815118,9.810000096469508,1.1031666233001005,3309.546407505955,0.0
2.4554708355063126,0.44522490860503633,2.5852005969706946,0.089161719337201,9.810000096465817,4.2028107431554185,3290.4384542648013,0.0
2.459923084592363,0.4532936274882082,2.5860922141640668,0.046475049207456494,9.810000096462138,1.7379833483165785,3271.901931567883,0.0
2.4644560208672455,0.43885278382943477,2.5865569646561415,0.04986265442227523,9.810000096458568,4.105496295557853,3253.915248837531,0.0
