q1,v1,q2,v2,u1,u2,Total_Costs,Terminal_Costs
2.356194490192345,-2.347496656832739e-06,2.376194490192345,1.9593703455017863,9.810000097727334,2.8735173239529863,42013.852823827176,0.0
2.3561944667173784,7.3437308059672905e-09,2.3957881936473626,1.9194910859844923,9.810000097556577,2.808914609696669,41470.371039006764,0.0
2.3561944667908157,0.03566811166393254,2.4149831045072077,1.8088922734400497,9.810000096595244,-0.8391637966468244,40953.23712780068,0.0
2.356551147907455,0.0010690385436415157,2.433072027241608,1.839431334847781,9.810000096588924,6.117219579864251,40461.06472546192,0.0
2.3565618382928912,0.12381417868875609,2.451466340590086,1.5551107527137609,9.81000009658282,-9.809986494607946,39992.21581029034,0.0
2.3577999800797786,0.24428645522757747,2.4670174481172236,1.2746122628886472,9.81000009657731,-9.809996412677334,39545.94762343968,0.0
2.3602428446320545,0.3627236376375809,2.47976357074611,0.997445884310755,9.810000096571294,-9.809994626067418,39119.40985857405,0.0
2.36387008100843,0.28752145163371245,2.4897380295892177,1.1097662738102971,9.810000097542934,9.809999426342785,38710.8478991807,0.0
2.366745295524767,0.40095876516104,2.5008356923273207,0.8427600534467365,9.810000096559373,-9.484899877122535,38318.4782128448,0.0
2.3707548831763776,0.3529721891225291,2.509263292861788,0.901043014144707,9.81000009753924,6.958649047410847,37942.40451932182,0.0
2.374284605067603,0.31997258878076595,2.518273723003235,0.9298392348106281,9.810000096548674,5.426425821505612,37580.80579645263,0.0
2.3774843309554106,0.43465172440450506,2.527572115351341,0.6608357393736652,9.81000009654452,-9.809998698557983,37233.408231161775,0.0
2.3818308481994555,0.4453520137477017,2.534180472745078,0.6017746743461341,9.81000009653836,0.8322540921280493,36900.30109902087,0.0
2.3862843683369324,0.3975241834315831,2.540198219488539,0.6616408187797096,9.81000009653344,6.888332327911512,36579.79541811215,0.0
2.390259610171248,0.354346437138416,2.546814627676336,0.7128754247087511,9.810000096528388,6.431381747649138,36271.35381892431,0.0
2.393803074542632,0.46793788409936493,2.553943381923424,0.44740953537892875,9.810000096525163,-9.809999015102337,35974.790953652664,0.0
2.3984824533836258,0.46507713882973584,2.5584174772772132,0.41775085864291794,9.810000097526483,2.2253582687685123,35689.88882568295,0.0
2.4031332247719233,0.5612221955746572,2.5625949858636425,0.18816331219960206,9.810000096513816,-8.030364467653285,35414.86161453473,0.0
2.4087454467276697,0.4858433205987075,2.5644766189856387,0.3065067970915615,9.810000096509446,9.809995411873015,35149.754943816806,0.0
2.4136038799336568,0.49812362692545004,2.567541686956554,0.24823110653006378,9.810000096504988,0.7746389358701042,34893.1834293276,0.0
2.418585116202911,0.4857889635902405,2.570023998021855,0.24045748076913945,9.81000009751976,3.369006358752276,34645.13189801354,0.0
2.4234430058388137,0.5194501241320622,2.5724285728295464,0.14036249240935356,9.810000096496019,-1.3395666393708492,34405.40500746875,0.0
2.4286375070801345,0.4914947173427756,2.57383219775364,0.16558383250336,9.810000097516657,5.084498509963313,34173.50393495079,0.0
2.433552454253562,0.5035668177269587,2.575488036078674,0.11067258810474355,9.810000096487503,1.013614821270263,33948.68418885594,0.0
2.4385881224308315,0.504618017328203,2.576594761959721,0.07876875233199208,9.810000097513514,2.211128697473441,33730.850006211265,0.0
2.4436343026041136,0.4828773162768369,2.577382449483041,0.09365441584764969,9.810000096479307,4.622609056688104,33519.46939244515,0.0
2.448463075766882,0.4802666369057695,2.5783189936415174,0.07069353619912767,9.810000096475104,2.7221526428885476,33314.15544717783,0.0
2.45326574213594,0.4841309294682396,2.5790259290035085,0.035412834051848335,9.810000096471017,2.123091362207205,33114.728714943994,0.0
2.458107051430622,0.4619989755012617,2.579380057344027,0.053284201898080134,9.810000096467205,4.853071182178688,32921.01238127992,0.0
2.4627270411856346,0.43841773068458173,2.579912899363008,0.07480800673251223,9.810000096463419,5.066710859633777,32732.53091538547,0.0
2.4671112184924806,0.45894705047655193,2.580660979430333,0.008203057095039342,9.810000097504837,0.6257206008070205,32549.180808016274,0.0
2.471700688997246,0.447617233092,2.5807430100012834,0.006425918530808269,9.810000096455788,3.93914454906727,32370.88838771173,0.0
2.4761768613281663,0.4256532280490154,2.5808072691865913,0.026753871180019997,9.810000096452255,5.089240851426018,32197.172678987958,0.0
2.4804333936086564,0.42031096167807,2.5810748078983914,0.014340077440364654,9.810000096448528,3.4637007621514133,32027.71665538364,0.0
2.484636503225437,0.416294201810911,2.581218208672795,-7.224938091536507e-05,9.810000097499563,3.392113301135679,31862.356289556385,0.0
2.4887994452435462,0.39841155584362564,2.5812174861789856,0.014037617124552326,9.81000009644148,4.861816207376235,31701.118167767756,0.0
2.4927835608019824,0.39281073537139355,2.5813578623502313,0.004123748532314017,9.810000096437914,3.679624519813392,31543.61453002374,0.0
2.4967116681556965,0.3762280428751811,2.5813990998355543,0.016887707133302007,9.810000096434697,4.8511643751019315,31389.93811468235,0.0
2.5004739485844483,0.3665090878509667,2.581567976906887,0.016487953433150897,9.810000096431285,4.216130457562187,31239.66159337183,0.0
2.504139039462958,0.3667947741435345,2.5817328564412185,-0.003394261451553331,9.810000096427853,3.262276294224635,31092.686040277447,0.0
2.5078069872043933,0.35302946783222433,2.581698913826703,0.0054944678853451855,9.810000096424643,4.736684252249968,30948.97027115647,0.0
2.5113372818827155,0.33928775834154234,2.5817538585055564,0.014914081636128094,9.810000096421417,4.79079435850559,30808.21367620869,0.0
2.514730159466131,0.33196707981493523,2.5819029993219176,0.01201773527897187,9.810000097489862,4.197807796623378,30670.41808399319,0.0
