Positions_q1,Positions_q2
2.356194490192345,2.48302731691105
2.356394490192345,2.601050538062542
2.356765060192052,2.7035477365378617
2.3572786790691507,2.7892477758907637
2.3579105437658585,2.8600739245677156
2.3586386224391864,2.9187967670891153
2.35944328596271,2.8383423811065605
2.3603068491090866,2.9005283987816752
2.3612437667103814,2.819464355849976
2.3622357768049844,2.8847642423595725
2.363297294885317,2.8816085292751166
2.364409544526784,2.9367089839730216
2.365568810141181,2.8558032405290747
2.366757967450242,2.8962187605043987
2.3679916247046213,2.933768057321937
2.3692562675802575,2.852616652809107
2.370538713654397,2.8575451423414346
2.3718535908181257,2.9079198347556225
2.3731954578548624,2.826142180334552
2.3745485817499876,2.822803586359584
2.375927522406428,2.8887579119651354
2.377328800256269,2.8066472721338003
2.3787335786042103,2.76203003833827
2.380156358635564,2.8262033174967574
2.381602826118552,2.8612516087041477
2.3830551244036817,2.778880757791004
2.384501353996215,2.8054908675492585
2.385955908487106,2.7227342200227977
2.387409028057073,2.730736419954727
2.3888748317038395,2.788392922893342
2.3903477679879934,2.7058497805794057
2.3918117444693903,2.7122892375835104
2.393280773687632,2.7999114355158805
2.3947497341364214,2.7177357234750468
2.396196409635,2.7775030046847435
2.397634862095909,2.6955433273793523
2.399048778320963,2.7235368700443234
2.400452074608134,2.6421979600867744
2.401835260771839,2.705713678193127
2.4032118672426264,2.624918210348557
2.404565272539756,2.5463908669363136
2.40590884850619,2.545836928628291
2.4072552155864937,2.471114914324184
2.408601075158147,2.5203405922170705
2.409958129132325,2.4473475930499586
2.411313168976105,2.484833166968574
2.412677546467038,2.4523446504821296
2.4140404594046347,2.4500361261838903
2.4154051361612163,2.450470393843513
2.416768778139539,2.426067649502771
2.4181280581794047,2.4213763293088735
2.4194846397715044,2.4106392498091926
2.4208362629583418,2.3997424427121916
2.4221818970046787,2.3885789200590604
2.423520563009405,2.3771637888306887
2.4248513550925637,2.3655843153989284
2.4261734371667827,2.3561944702074173
2.4274860252673407,2.3561944672533053
2.428787915724689,2.356194467780197
2.4300760408077267,2.3561944669334185
2.4313473514482284,2.356194467268584
2.432598816953691,2.3561944671333777
2.4338274246689435,2.3561944670207766
2.4350301795893134,2.356194466959532
2.436204103924538,2.356194466893093
2.437346236614457,2.356194466853554
2.438453632796944,2.3561944668156416
2.439523363228599,2.356194466783887
2.440552513658822,2.356194466754659
2.441538184157852,2.3561944667312917
2.4424774883994185,2.3561944667093586
2.4433675528971452,2.3561944666882817
2.444205516204392,2.35619446666804
2.444988528055737,2.3561944666347077
