Positions,Velocities,Inputs,Total_Costs,Terminal_Costs
2.356194490192345,0.28732825745407015,9.810000097980733,1312.2484550994168,5.163168213080841
2.3849273159377518,0.5746565148804882,9.810000097704213,1065.0390447955488,3.292140648565212
2.4423929674258007,0.8821994989630091,9.810000097478007,830.1984920590618,0.29610334167119784
2.5306129173221015,1.2318226434446033,9.810000097114306,613.0301383667146,0.0
2.653795181666562,1.6500521635277563,9.810000097476383,419.356589673706,0.0
2.8188003980193375,2.171275733993536,9.810000094598534,257.2239560134024,0.0
3.035927971418691,2.841087004946458,9.810000087837109,134.36339810361918,0.0
3.3200366719133365,2.451399574159263,-2.8622315885823526,54.887361922764185,0.0
3.5651766293292626,1.6445256097369152,-9.81000007208395,17.983122634171195,0.0
3.729629190302954,1.066746342136947,-9.810000074480081,4.860315307737315,0.0
3.8363038245166488,0.6299349247308016,-9.810000072423119,0.9489626589510656,0.0
3.899297316989729,0.27693538810622564,-9.810000052537015,0.11776939003308809,0.0
3.9269908558003515,-4.730997821129956e-06,-9.511381463428405,0.03607439517319785,0.0
3.9269903827005694,-0.0005084378861418412,-6.941754861558813,0.0360671838457506,0.0
3.9269395389119555,-3.003561981835065e-05,-6.931930488252174,0.03607358852954403,0.0
3.9269365353499737,4.58930272192784e-06,-6.936015563571535,0.036074071062016266,0.0
3.9269369942802457,4.0021453778893803e-07,-6.936382867718115,0.036074012360137526,0.0
3.9269370343016994,-1.8718674256728175e-08,-6.936348349810123,0.03607400650544115,0.0
3.926937032429832,-3.6713904171589012e-09,-6.936344287637619,0.036074006716720654,0.0
3.9269370320626926,9.11983867330629e-13,-6.936344388402119,0.036074006768077975,0.0
3.9269370320627837,2.765825307497749e-11,-6.936344422310802,,
