Positions,Velocities,Inputs,Total_Costs,Terminal_Costs
2.356194490192345,0.2873282574621387,9.810000098061419,1319.3698154080098,0.0
2.3849273159385587,0.5746565149141711,9.810000097960357,1072.6240677880517,0.0
2.4423929674299756,0.8821994990382956,9.810000097888288,834.8199694706245,0.0
2.530612917333805,1.2318226435272228,9.81000009715629,614.4042970519046,0.0
2.6537951816865273,1.6500521636212258,9.81000009749084,419.39718740314225,0.0
2.81880039804865,2.171275734104338,9.810000094598843,257.26243607825586,0.0
3.035927971459084,2.84108700508453,9.810000087837109,134.40187909043914,0.0
3.3200366719675367,2.4513995775604656,-2.8622315563450984,54.925854207490836,0.0
3.565176629723583,1.6445256113278999,-9.810000090709389,18.021619441842184,0.0
3.7296291911486144,1.0667463419376697,-9.810000098096785,4.898807850868731,0.0
3.836303825342381,0.6299349234031495,-9.81000009060934,0.9874603887089658,0.0
3.8992973178271497,0.2769353829212043,-9.810000098099307,0.1562619360969729,0.0
3.92699085611927,-1.7193203009185947e-06,-9.511351300770563,0.07457275244641288,0.0
3.926990684256954,-0.0010094024798211134,-6.946794626963565,0.07455310597838173,0.0
3.9268897440089723,0.0004915900926773235,-6.921706677002476,0.07457366763317445,0.0
3.92693890301824,2.9319950659282437e-05,-6.940639074730024,0.07456697016818706,0.0
3.926941835013306,-2.8138408245714626e-06,-6.936678739469112,0.07456652306469697,0.0
3.9269415536292236,-3.636883452749884e-07,-6.936353239477039,0.07456655711966169,0.0
3.926941517260389,7.731444722920678e-09,-6.936372074826158,0.07456656228047359,0.0
3.9269415180335336,3.348459924733141e-09,-6.936375580561141,0.07456656221940657,0.0
3.9269415183683796,7.962226232884669e-11,-6.93637557478302,,
