q1,v1,q2,v2,viable
3.609980693629966,-3.2227576980781585,3.6711567616029175,0.49406996758505173,1.0
3.2816061014977054,-0.7589021599841779,2.646633170418026,4.9262466112871905,1.0
2.782985738257216,4.373395414870709,3.010110216759083,-3.206055910494012,1.0
3.124156365305795,-0.4445934678862393,3.028266734999636,4.226611514069653,1.0
3.173611182124075,1.7355921362284565,2.936397840104206,-1.272492812932228,1.0
3.2033156064737645,1.04565624464448,3.6623058079128756,-0.9504243450519194,1.0
2.549224219383632,1.7231498199634672,3.581074690617714,-3.4299279038877595,1.0
3.550591685052504,-1.4411328253574869,3.2266467340020104,4.130036920462848,1.0
3.3113103336114804,-0.4588775605011115,3.5858980211976554,2.2013272800324906,1.0
3.408764036738754,-3.6357801191759016,2.6129131597769617,-3.7192685704201818,0.0
2.7338021468208824,9.137348186000388,3.6858096789274337,2.172115534950624,0.0
3.8865323791699673,1.1634745639461492,3.0308445271505655,6.754361066845011,0.0
3.300048732957018,1.8148004343007447,2.9141789184650833,2.7618584643310413,0.0
3.4811229007388107,-3.632558620280961,2.4724582390964622,-9.42438637014395,0.0
3.7183903918524672,6.215277930159971,2.997797358555858,7.540953052414213,0.0
3.461893455643682,-2.8122322091137715,2.798234137289167,6.487253077578611,0.0
3.0559432079092956,-9.872031778146212,3.9043276598893213,5.4180644492677,0.0
3.3385784544897854,-8.015689590761287,2.574906073958846,3.8191471772563563,0.0
3.2775223625620327,7.214010006787927,3.024792882866339,-2.6599115829803166,0.0
3.2907852873532986,7.6284274235406535,2.4928343308785443,-4.40295095873438,0.0
2.7600043277222652,-7.37499538684089,2.3669219138829636,-0.6367104877697987,0.0
2.425137994125698,-5.356177697976314,2.3761319884483836,5.597846137831176,0.0
3.5157729859599325,4.790396114402764,2.9264490308662894,-5.4720284972239135,0.0
2.8663730617250547,8.82465121488173,2.8789703851335338,2.8658407140496234,0.0
3.784677411134129,-1.3503903134254998,3.471467466644751,-7.448115744759201,0.0
3.0467792590042233,-2.111961892639254,3.321140508631212,6.792912546207525,0.0
3.8573270885277617,-9.559719638215256,3.036716163947306,-8.393345621871084,0.0
3.827494008848737,-5.951643425507232,3.167524019204304,6.974938601342473,0.0
