position,velocity,cost
2.356194490192345,-10.0,11.867137693872417
2.356194490192345,-9.833333333333334,11.493639085599023
2.356194490192345,-9.666666666666666,11.126116707983407
2.356194490192345,-9.5,10.76457577001688
2.356194490192345,-9.333333333333334,10.409021380967543
2.356194490192345,-9.166666666666666,10.059458562430157
2.356194490192345,-9.0,9.715892258527084
2.356194490192345,-8.833333333333334,9.378327344564946
2.356194490192345,-8.666666666666666,9.046768634393628
2.356194490192345,-8.5,8.72122088666811
2.356194490192345,-8.333333333333334,8.401688810177617
2.356194490192345,-8.166666666666666,8.088177068378375
2.356194490192345,-8.0,7.780690283242508
2.356194490192345,-7.833333333333334,7.4792330434573255
2.356194490192345,-7.666666666666667,7.183809886111105
2.356194490192345,-7.5,6.894425332887886
2.356194490192345,-7.333333333333334,6.611083867565062
2.356194490192345,-7.166666666666667,6.3337899442759875
2.356194490192345,-7.0,6.062547988793901
2.356194490192345,-6.833333333333334,5.79736239955674
2.356194490192345,-6.666666666666667,5.5382375484634565
2.356194490192345,-6.5,5.28517778146871
2.356194490192345,-6.333333333333334,5.038187418999004
2.356194490192345,-6.166666666666667,4.7972707562106045
2.356194490192345,-6.0,4.5624320631069715
2.356194490192345,-5.833333333333334,4.333675584531338
2.356194490192345,-5.666666666666667,4.111005540048091
2.356194490192345,-5.5,3.8944261237252564
2.356194490192345,-5.333333333333334,3.683941503828738
2.356194490192345,-5.166666666666667,3.479555822437965
2.356194490192345,-5.0,3.2812731949914817
2.356194490192345,-4.833333333333334,3.0890977097701064
2.356194490192345,-4.666666666666667,2.903033427324494
2.356194490192345,-4.5,2.7230843798532898
2.356194490192345,-4.333333333333334,2.5492545705373484
2.356194490192345,-4.166666666666667,2.3815479728350537
2.356194490192345,-4.0,2.2199685297432383
2.356194490192345,-3.833333333333334,2.0645201530278046
2.356194490192345,-3.666666666666667,1.9152067224277594
2.356194490192345,-3.5,1.7720320848360323
2.356194490192345,-3.333333333333334,1.6350000534602045
2.356194490192345,-3.166666666666667,1.5041144069659267
2.356194490192345,-3.0,1.3793788886056448
2.356194490192345,-2.833333333333334,1.26079720533498
2.356194490192345,-2.666666666666667,1.1483730269189727
2.356194490192345,-2.5,1.0421099850301658
2.356194490192345,-2.333333333333334,0.9420116723404321
2.356194490192345,-2.166666666666667,0.8480816416082055
2.356194490192345,-2.0,0.760323404762755
2.356194490192345,-1.833333333333334,0.678740431986955
2.356194490192345,-1.6666666666666679,0.6033361507999169
2.356194490192345,-1.5,0.5341139451407944
2.356194490192345,-1.333333333333334,0.4710771544549184
2.356194490192345,-1.1666666666666679,0.41422907278339965
2.356194490192345,-1.0,0.3635729478572384
2.356194490192345,-0.8333333333333339,0.31911198019692183
2.356194490192345,-0.6666666666666679,0.2808493222184235
2.356194490192345,-0.5,0.24878807859730656
2.356194490192345,-0.3333333333333339,0.22293129925085786
2.356194490192345,-0.16666666666666785,0.20328199040270845
2.356194490192345,0.0,0.18984310243924316
2.356194490192345,0.16666666666666607,0.18261753523232324
2.356194490192345,0.33333333333333215,0.18160813012540697
2.356194490192345,0.5,0.18681768276929872
2.356194490192345,0.6666666666666661,0.19824892813928113
2.356194490192345,0.8333333333333321,0.21590454692752772
2.356194490192345,1.0,0.23978716397503497
2.356194490192345,1.166666666666666,0.2698993441281447
2.356194490192345,1.3333333333333321,0.3062435982294647
2.356194490192345,1.5,0.34882237560118334
2.356194490192345,1.666666666666666,0.39763806683471864
2.356194490192345,1.8333333333333321,0.45269300174621996
2.356194490192345,2.0,0.5139894500835761
2.356194490192345,2.166666666666666,0.5815296190359197
2.356194490192345,2.333333333333332,0.6553156541574189
2.356194490192345,2.5,0.7353496376340778
2.356194490192345,2.666666666666666,0.821633588348365
2.356194490192345,2.833333333333332,0.9141694607732823
2.356194490192345,3.0,1.0129591446461275
2.356194490192345,3.166666666666666,1.1180044643085276
2.356194490192345,3.333333333333332,1.229307178883098
2.356194490192345,3.5,1.3468689781210916
2.356194490192345,3.666666666666666,1.470691489081112
2.356194490192345,3.833333333333332,1.6007762684217275
2.356194490192345,4.0,1.7371248055302684
2.356194490192345,4.166666666666666,1.8797385220370584
2.356194490192345,4.333333333333332,2.028618767802601
2.356194490192345,4.5,2.1837668276450577
2.356194490192345,4.666666666666666,2.345183914284838
2.356194490192345,4.833333333333332,2.5128711690257655
2.356194490192345,5.0,2.6868296656835455
2.356194490192345,5.166666666666666,2.8670604052662743
2.356194490192345,5.333333333333332,3.0535643181398227
2.356194490192345,5.5,3.2463422631100634
2.356194490192345,5.666666666666666,3.445395027422932
2.356194490192345,5.833333333333332,3.6507233262275105
2.356194490192345,6.0,3.8623278024722185
2.356194490192345,6.166666666666664,4.080209026669092
2.356194490192345,6.333333333333332,4.304367496698224
2.356194490192345,6.5,4.53480363763692
2.356194490192345,6.666666666666664,4.771517801610426
2.356194490192345,6.833333333333332,5.014510267664576
2.356194490192345,7.0,5.263781241660433
2.356194490192345,7.166666666666664,5.519330856191952
2.356194490192345,7.333333333333332,5.781159170520193
2.356194490192345,7.5,6.049266170543684
2.356194490192345,7.666666666666664,6.323651768772317
2.356194490192345,7.833333333333332,6.60431580433768
2.356194490192345,8.0,6.891258043025214
2.356194490192345,8.166666666666664,7.184478177333021
2.356194490192345,8.333333333333332,7.483975826517786
2.356194490192345,8.5,7.789750536660419
2.356194490192345,8.666666666666664,8.101801780815887
2.356194490192345,8.833333333333332,8.420128959186682
2.356194490192345,9.0,8.744731399278233
2.356194490192345,9.166666666666664,9.075608356063885
2.356194490192345,9.333333333333332,9.412759012180535
