q1,v1,q2,v2,Costs
3.769911184307752,-5.0,3.4557519189487724,8.0,496.6828145609024
3.769911184307752,-5.0,3.4557519189487724,9.0,468.74783621566746
3.769911184307752,-5.0,3.5342917352885173,7.0,609.0955123235824
3.769911184307752,-5.0,3.5342917352885173,8.0,483.4919168342829
3.769911184307752,-5.0,3.5342917352885173,9.0,459.5910143086455
3.769911184307752,-5.0,3.612831551628262,7.0,552.3742705006812
3.769911184307752,-5.0,3.612831551628262,8.0,476.39535953329874
3.769911184307752,-5.0,3.612831551628262,9.0,457.1528386550925
3.769911184307752,-5.0,3.612831551628262,10.0,452.5194082632792
3.769911184307752,-5.0,3.691371367968007,7.0,540.0474645021519
3.769911184307752,-5.0,3.691371367968007,8.0,472.9847476558971
3.769911184307752,-5.0,3.691371367968007,9.0,456.0207169922089
3.769911184307752,-5.0,3.769911184307752,7.0,532.678116394654
3.769911184307752,-5.0,3.769911184307752,8.0,471.49317663256056
3.769911184307752,-5.0,3.769911184307752,9.0,455.7040843329975
3.769911184307752,-5.0,3.848451000647497,7.0,530.7306488287604
3.769911184307752,-5.0,3.848451000647497,8.0,471.5246432017255
3.769911184307752,-5.0,3.848451000647497,9.0,456.4242856069191
3.769911184307752,-4.0,2.827433388230814,5.0,274.8197933158844
3.769911184307752,-4.0,2.905973204570558,5.0,262.65035615415303
3.769911184307752,-4.0,2.9845130209103035,4.0,296.8314993492539
3.769911184307752,-4.0,2.9845130209103035,5.0,257.150209899272
3.769911184307752,-4.0,2.9845130209103035,6.0,252.3195549724392
3.769911184307752,-4.0,3.0630528372500483,4.0,276.69220215946154
3.769911184307752,-4.0,3.0630528372500483,5.0,253.4778874350393
3.769911184307752,-4.0,3.0630528372500483,6.0,244.6469192846816
3.769911184307752,-4.0,3.141592653589793,4.0,268.84718894018386
3.769911184307752,-4.0,3.141592653589793,5.0,250.75147996911352
3.769911184307752,-4.0,3.141592653589793,6.0,242.8212691465759
3.769911184307752,-4.0,3.220132469929538,4.0,263.95537900476006
3.769911184307752,-4.0,3.220132469929538,5.0,248.60746999500776
3.769911184307752,-4.0,3.220132469929538,6.0,241.6972376898032
3.769911184307752,-4.0,3.220132469929538,7.0,238.6426146955628
3.769911184307752,-4.0,3.2986722862692828,3.0,395.8976104149605
3.769911184307752,-4.0,3.2986722862692828,4.0,260.18711763688464
3.769911184307752,-4.0,3.2986722862692828,5.0,246.89019547390308
3.769911184307752,-4.0,3.2986722862692828,6.0,240.86040759594897
3.769911184307752,-4.0,3.2986722862692828,7.0,238.2914455242647
3.769911184307752,-4.0,3.377212102609028,3.0,329.4748391048596
3.769911184307752,-4.0,3.377212102609028,4.0,257.1828569606265
3.769911184307752,-4.0,3.377212102609028,5.0,245.50171956279007
3.769911184307752,-4.0,3.377212102609028,6.0,240.21531397143232
